customerID,Contract,PaperlessBilling,PaymentMethod
4847-TAJYI,Month-to-month,1,Electronic check
1563-IWQEX,Month-to-month,0,Mailed check
8203-XJZRC,Month-to-month,0,Mailed check
6556-DBKZF,Two year,0,Electronic check
6851-WEFYX,Month-to-month,1,Electronic check
2985-JUUBZ,Month-to-month,1,Electronic check
6390-DSAZX,Month-to-month,1,Mailed check
0895-LMRSF,One year,1,Bank transfer (automatic)
8098-LLAZX,Month-to-month,1,Electronic check
8266-VBFQL,Month-to-month,1,Electronic check
8181-YHCMF,Two year,0,Credit card (automatic)
2240-HSJQD,Month-to-month,1,Mailed check
1248-DYXUB,Two year,0,Mailed check
0265-EDXBD,Month-to-month,1,Electronic check
4115-BNPJY,Two year,0,Mailed check
3167-SNQPL,Month-to-month,0,Electronic check
4091-TVOCN,One year,1,Credit card (automatic)
1098-TDVUQ,Month-to-month,1,Bank transfer (automatic)
7277-OZCGZ,Month-to-month,1,Electronic check
1557-EMYVT,Two year,0,Credit card (automatic)
2799-ARNLO,Month-to-month,1,Electronic check
7563-BIUPC,Month-to-month,1,Electronic check
5027-YOCXN,One year,0,Credit card (automatic)
3973-SKMLN,Two year,1,Credit card (automatic)
2321-OMBXY,One year,0,Credit card (automatic)
2840-XANRC,Month-to-month,1,Electronic check
6745-JEFZB,Month-to-month,1,Credit card (automatic)
5020-ZSTTY,One year,0,Bank transfer (automatic)
9880-TDQAC,Two year,1,Electronic check
8705-WZCYL,Month-to-month,1,Electronic check
7102-JJVTX,One year,0,Mailed check
8626-PTQGE,Two year,1,Bank transfer (automatic)
4983-CLMLV,Month-to-month,1,Credit card (automatic)
5701-YVSVF,Month-to-month,1,Electronic check
5804-LEPIM,Month-to-month,1,Electronic check
5697-GOMBF,Month-to-month,1,Electronic check
2739-CACDQ,Month-to-month,1,Credit card (automatic)
9385-EHGDO,Two year,1,Mailed check
9498-FIMXL,One year,1,Mailed check
2379-GYFLQ,One year,1,Credit card (automatic)
0122-OAHPZ,Month-to-month,1,Electronic check
2868-SNELZ,Month-to-month,0,Mailed check
4322-RCYMT,One year,1,Bank transfer (automatic)
6680-NENYN,Two year,1,Electronic check
2088-IEBAU,Two year,1,Electronic check
7982-VCELR,Month-to-month,1,Credit card (automatic)
1343-EHPYB,Month-to-month,1,Electronic check
6035-BXTTY,Month-to-month,0,Bank transfer (automatic)
6885-PKOAM,Two year,0,Credit card (automatic)
7520-HQWJU,Month-to-month,1,Bank transfer (automatic)
9639-BUJXT,One year,0,Mailed check
5924-SNGKP,One year,1,Credit card (automatic)
0021-IKXGC,Month-to-month,1,Electronic check
2034-GDRCN,Month-to-month,1,Electronic check
8966-SNIZF,Two year,0,Bank transfer (automatic)
6243-OZGFH,Month-to-month,1,Electronic check
4654-DLAMQ,One year,0,Bank transfer (automatic)
0513-RBGPE,Two year,1,Credit card (automatic)
5160-UXJED,One year,0,Mailed check
4115-NZRKS,Month-to-month,1,Electronic check
0219-YTZUE,Month-to-month,1,Bank transfer (automatic)
0623-IIHUG,Month-to-month,1,Electronic check
4572-DVCGN,Month-to-month,1,Bank transfer (automatic)
3351-NGXYI,Month-to-month,1,Electronic check
8984-EYLLL,Two year,1,Electronic check
9057-MSWCO,Month-to-month,0,Credit card (automatic)
9833-TGFHX,One year,0,Electronic check
9294-TDIPC,Month-to-month,0,Mailed check
5229-DTFYB,Two year,1,Bank transfer (automatic)
0104-PPXDV,One year,0,Credit card (automatic)
5176-LMJXE,Two year,1,Mailed check
3583-KRKMD,Month-to-month,1,Bank transfer (automatic)
1010-DIAUQ,Month-to-month,0,Bank transfer (automatic)
9069-LGEUL,Month-to-month,1,Bank transfer (automatic)
7302-ZHMHP,Month-to-month,0,Mailed check
9571-EDEBV,One year,1,Credit card (automatic)
3520-FJGCV,Two year,1,Credit card (automatic)
6563-VRERX,One year,0,Mailed check
0259-GBZSH,Month-to-month,1,Electronic check
6122-EFVKN,Two year,0,Mailed check
2805-EDJPQ,One year,1,Credit card (automatic)
6862-CQUMB,Month-to-month,1,Credit card (automatic)
7156-MXBJE,One year,0,Credit card (automatic)
6158-HDPXZ,Month-to-month,0,Mailed check
9601-BRXPO,Month-to-month,1,Bank transfer (automatic)
2863-IMQDR,Two year,0,Electronic check
5686-CMAWK,One year,0,Electronic check
5651-CRHKQ,One year,1,Bank transfer (automatic)
6905-NIQIN,Month-to-month,0,Mailed check
8204-YJCLA,Two year,1,Bank transfer (automatic)
5167-ZFFMM,Month-to-month,1,Credit card (automatic)
6583-SZVGP,Two year,1,Bank transfer (automatic)
4895-TMWIR,Month-to-month,0,Mailed check
0533-BNWKF,Month-to-month,1,Electronic check
1708-PBBOA,One year,1,Electronic check
8782-LKFPK,Month-to-month,1,Mailed check
5522-JBWMO,Month-to-month,0,Electronic check
3597-MVHJT,Month-to-month,1,Bank transfer (automatic)
9774-NRNAU,Month-to-month,1,Bank transfer (automatic)
0224-RLWWD,Month-to-month,1,Electronic check
9967-ATRFS,Month-to-month,0,Mailed check
3951-NJCVI,Month-to-month,1,Electronic check
2977-CEBSX,Two year,1,Credit card (automatic)
0177-PXBAT,Month-to-month,1,Bank transfer (automatic)
6599-CEBNN,Month-to-month,1,Credit card (automatic)
2519-ERQOJ,Month-to-month,1,Electronic check
5876-QMYLD,One year,0,Mailed check
2277-AXSDC,One year,0,Bank transfer (automatic)
9442-JTWDL,One year,0,Credit card (automatic)
0979-PHULV,Month-to-month,1,Credit card (automatic)
3067-SVMTC,One year,0,Bank transfer (automatic)
5495-GPSRW,Two year,1,Mailed check
7606-BPHHN,Two year,1,Credit card (automatic)
4742-DRORA,One year,1,Bank transfer (automatic)
0111-KLBQG,Month-to-month,1,Mailed check
4800-VHZKI,Month-to-month,1,Mailed check
7989-CHGTL,Month-to-month,1,Mailed check
0334-GDDSO,Month-to-month,1,Electronic check
4163-NCJAK,One year,1,Bank transfer (automatic)
5233-AOZUF,Month-to-month,1,Electronic check
5973-EJGDP,Month-to-month,1,Electronic check
1996-DBMUS,Month-to-month,1,Bank transfer (automatic)
7916-VCCPB,Month-to-month,0,Bank transfer (automatic)
4686-GEFRM,Two year,1,Bank transfer (automatic)
5249-QYHEX,Two year,1,Mailed check
0578-SKVMF,Month-to-month,0,Electronic check
5564-NEMQO,Month-to-month,1,Bank transfer (automatic)
2233-FAGXV,Month-to-month,1,Mailed check
5605-IYGFG,Month-to-month,1,Bank transfer (automatic)
7663-ZTEGJ,One year,0,Credit card (automatic)
3935-TBRZZ,One year,0,Mailed check
8111-BKVDS,Month-to-month,0,Bank transfer (automatic)
2055-SIFSS,Month-to-month,0,Bank transfer (automatic)
2806-MLNTI,One year,1,Bank transfer (automatic)
8734-DKSTZ,Month-to-month,0,Electronic check
4360-PNRQB,Month-to-month,1,Bank transfer (automatic)
6152-ONASV,One year,0,Bank transfer (automatic)
9063-ZGTUY,Month-to-month,1,Mailed check
7781-HVGMK,Two year,1,Credit card (automatic)
2181-UAESM,Month-to-month,0,Electronic check
2957-LOLHO,Month-to-month,1,Bank transfer (automatic)
6048-NJXHX,Two year,1,Electronic check
2320-SLKMB,Month-to-month,1,Credit card (automatic)
4980-URKXC,One year,0,Bank transfer (automatic)
4376-KFVRS,Two year,1,Credit card (automatic)
5886-VLQVU,Month-to-month,1,Bank transfer (automatic)
3577-AMVUX,Month-to-month,0,Mailed check
0771-WLCLA,Month-to-month,1,Electronic check
5628-RKIFK,Month-to-month,0,Credit card (automatic)
0206-TBWLC,One year,1,Mailed check
2937-FTHUR,Month-to-month,0,Electronic check
1910-FMXJM,Month-to-month,0,Electronic check
7752-XUSCI,Month-to-month,1,Electronic check
4110-PFEUZ,Month-to-month,0,Mailed check
0732-OCQOC,Two year,1,Bank transfer (automatic)
5168-MSWXT,Month-to-month,1,Electronic check
1090-ESELR,Two year,0,Bank transfer (automatic)
8592-PLTMQ,One year,0,Mailed check
5760-WRAHC,Month-to-month,1,Mailed check
8847-GEOOQ,Month-to-month,1,Bank transfer (automatic)
0256-LTHVJ,Month-to-month,1,Electronic check
4785-FCIFB,Two year,0,Mailed check
8313-NDOIA,Month-to-month,1,Electronic check
5149-CUZUJ,One year,0,Bank transfer (automatic)
0942-KOWSM,Two year,0,Bank transfer (automatic)
4237-CLSMM,Month-to-month,0,Mailed check
1452-VOQCH,Month-to-month,1,Electronic check
4719-UMSIY,Month-to-month,0,Mailed check
6614-VBEGU,Month-to-month,1,Bank transfer (automatic)
0880-TKATG,Month-to-month,0,Electronic check
3811-VBYBZ,Month-to-month,1,Electronic check
1480-BKXGA,Two year,1,Bank transfer (automatic)
2996-XAUVF,Two year,1,Mailed check
9076-AXYIK,Two year,0,Electronic check
5968-XQIVE,One year,1,Electronic check
8896-RAZCR,Two year,0,Mailed check
4640-UHDOS,Month-to-month,0,Electronic check
4933-IKULF,One year,0,Mailed check
3583-EKAPL,Month-to-month,1,Electronic check
1304-BCCFO,Month-to-month,1,Mailed check
4104-PVRPS,Month-to-month,0,Mailed check
9399-APLBT,Month-to-month,1,Electronic check
2359-KMGLI,Month-to-month,1,Electronic check
3780-DDGSE,Month-to-month,1,Electronic check
4431-EDMIQ,Month-to-month,1,Electronic check
0306-JAELE,Month-to-month,1,Electronic check
6227-HWPWX,Month-to-month,0,Bank transfer (automatic)
0486-LGCCH,Two year,0,Mailed check
0447-BEMNG,Month-to-month,1,Bank transfer (automatic)
4612-SSVHJ,Month-to-month,1,Electronic check
5168-MQQCA,One year,1,Bank transfer (automatic)
5949-XIKAE,Month-to-month,1,Electronic check
7971-HLVXI,Two year,1,Credit card (automatic)
9094-AZPHK,Month-to-month,1,Electronic check
3649-JPUGY,Two year,1,Bank transfer (automatic)
4472-LVYGI,Two year,1,Bank transfer (automatic)
8372-JUXUI,Month-to-month,1,Electronic check
3552-CTCYF,Two year,1,Bank transfer (automatic)
6778-YSNIH,Month-to-month,1,Electronic check
0388-EOPEX,Month-to-month,1,Electronic check
5756-OZRIO,One year,0,Bank transfer (automatic)
6579-JPICP,Month-to-month,0,Mailed check
8205-OTCHB,One year,1,Bank transfer (automatic)
4134-BSXLX,Month-to-month,0,Mailed check
0505-SPOOW,Two year,0,Bank transfer (automatic)
6235-VDHOM,Month-to-month,0,Electronic check
7783-YKGDV,Month-to-month,1,Bank transfer (automatic)
4374-YMUSQ,One year,0,Credit card (automatic)
4513-CXYIX,Two year,1,Credit card (automatic)
3957-HHLMR,One year,0,Bank transfer (automatic)
7803-XOCCZ,Month-to-month,1,Bank transfer (automatic)
5736-YEJAX,Two year,1,Credit card (automatic)
5609-CEBID,Month-to-month,1,Electronic check
8981-FJGLA,Month-to-month,1,Mailed check
7218-HKQFK,Month-to-month,1,Electronic check
4636-QRJKY,Month-to-month,1,Electronic check
1135-LMECX,Month-to-month,0,Mailed check
4332-MUOEZ,One year,0,Credit card (automatic)
8535-SFUTN,Month-to-month,1,Electronic check
5956-VKDTT,Month-to-month,1,Electronic check
8677-HDZEE,Month-to-month,1,Bank transfer (automatic)
2475-MROZF,Month-to-month,1,Credit card (automatic)
9412-GHEEC,Month-to-month,0,Bank transfer (automatic)
3482-ABPKK,One year,0,Mailed check
6705-LXORM,Month-to-month,0,Electronic check
0257-ZESQC,Month-to-month,1,Bank transfer (automatic)
7531-GQHME,Month-to-month,0,Credit card (automatic)
5174-ITUMV,One year,1,Electronic check
4109-CYRBD,Month-to-month,1,Electronic check
0913-XWSCN,Month-to-month,0,Bank transfer (automatic)
6825-UYPFK,Month-to-month,0,Bank transfer (automatic)
8397-MVTAZ,Month-to-month,1,Electronic check
0750-EBAIU,One year,0,Electronic check
8606-CIQUL,Two year,1,Credit card (automatic)
3571-DPYUH,One year,1,Credit card (automatic)
7601-GNDYK,Two year,0,Mailed check
0356-OBMAC,Two year,1,Bank transfer (automatic)
8067-NIOYM,Two year,1,Credit card (automatic)
1403-GYAFU,Two year,0,Credit card (automatic)
4234-XTNEA,Month-to-month,1,Electronic check
1297-VQDRP,One year,1,Credit card (automatic)
9282-IZGQK,Month-to-month,1,Electronic check
5348-CAGXB,Month-to-month,1,Electronic check
0621-HJWXJ,Month-to-month,1,Bank transfer (automatic)
5844-QVTAT,One year,1,Mailed check
8905-IAZPF,One year,1,Credit card (automatic)
5394-MEITZ,Two year,1,Bank transfer (automatic)
6859-QNXIQ,Two year,1,Bank transfer (automatic)
2782-LFZVW,Month-to-month,1,Mailed check
2866-IKBTM,Month-to-month,0,Mailed check
1342-JPNKI,Month-to-month,1,Bank transfer (automatic)
2817-NTQDO,Month-to-month,1,Credit card (automatic)
7129-AZJDE,One year,1,Bank transfer (automatic)
6986-IJDHX,Month-to-month,1,Mailed check
2560-PPCHE,One year,1,Bank transfer (automatic)
4676-MQUEA,One year,1,Bank transfer (automatic)
8138-EALND,Month-to-month,0,Mailed check
3580-HYCSP,Two year,1,Bank transfer (automatic)
1352-HNSAW,Two year,1,Bank transfer (automatic)
2075-PUEPR,Two year,0,Bank transfer (automatic)
1982-FEBTD,Two year,1,Credit card (automatic)
5301-GAUUY,Month-to-month,1,Bank transfer (automatic)
5791-KAJFD,One year,1,Bank transfer (automatic)
2654-VBVPB,Month-to-month,0,Bank transfer (automatic)
1154-HYWWO,One year,0,Mailed check
2501-XWWTZ,Month-to-month,0,Electronic check
3716-UVSPD,Month-to-month,1,Electronic check
6815-ABQFQ,One year,1,Electronic check
