customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
8773-HHUOZ,1,No,DSL,No,No,No,No,Yes,Yes
3841-NFECX,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
4929-XIHVW,1,No,Fiber optic,No,No,Yes,No,Yes,Yes
6827-IEAUQ,1,No,DSL,Yes,Yes,Yes,Yes,No,No
7310-EGVHZ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3413-BMNZE,1,No,DSL,No,No,No,No,No,No
6234-RAAPL,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
6047-YHPVI,1,No,Fiber optic,No,No,No,No,No,No
6572-ADKRS,1,No,Fiber optic,No,No,Yes,No,No,No
5380-WJKOV,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
8168-UQWWF,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
8865-TNMNX,1,No,DSL,No,Yes,No,No,No,No
9489-DEDVP,1,Yes,DSL,Yes,Yes,No,No,Yes,No
9867-JCZSP,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4671-VJLCL,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
4080-IIARD,1,Yes,DSL,Yes,Yes,No,Yes,Yes,No
3714-NTNFO,1,Yes,Fiber optic,No,No,No,No,No,Yes
5948-UJZLF,1,No,DSL,No,Yes,No,No,No,No
7760-OYPDY,1,No,Fiber optic,No,No,No,No,Yes,No
7639-LIAYI,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes
2954-PIBKO,1,Yes,DSL,Yes,No,Yes,Yes,No,No
8012-SOUDQ,1,Yes,Fiber optic,No,Yes,No,No,Yes,No
9420-LOJKX,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes
6575-SUVOI,1,Yes,DSL,Yes,No,No,Yes,Yes,No
7495-OOKFY,1,Yes,Fiber optic,No,Yes,No,No,No,No
4667-QONEA,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes
1658-BYGOY,1,Yes,Fiber optic,No,No,No,No,Yes,Yes
8769-KKTPH,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
5067-XJQFU,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
3957-SQXML,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5954-BDFSG,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
0434-CSFON,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1215-FIGMP,1,Yes,Fiber optic,No,Yes,No,No,Yes,No
0526-SXDJP,0,No phone service,DSL,Yes,Yes,Yes,No,No,No
0557-ASKVU,1,No,DSL,No,No,Yes,Yes,No,No
5698-BQJOH,1,Yes,Fiber optic,No,No,No,No,Yes,Yes
5122-CYFXA,1,No,DSL,No,Yes,No,Yes,Yes,Yes
8627-ZYGSZ,1,Yes,Fiber optic,No,Yes,No,No,No,No
3410-YOQBQ,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes
3170-NMYVV,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7410-OIEDU,1,No,Fiber optic,Yes,No,Yes,No,No,No
2273-QCKXA,1,No,DSL,No,No,No,Yes,No,No
0731-EBJQB,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1891-QRQSA,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
8028-PNXHQ,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5630-AHZIL,1,No,DSL,Yes,No,No,Yes,No,Yes
2673-CXQEU,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
6416-JNVRK,1,No,DSL,No,No,No,No,No,Yes
5590-ZSKRV,1,No,DSL,Yes,Yes,No,No,No,No
0191-ZHSKZ,1,No,DSL,Yes,Yes,No,No,Yes,Yes
3887-PBQAO,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5919-TMRGD,1,No,Fiber optic,No,No,No,No,Yes,No
8108-UXRQN,0,No phone service,DSL,Yes,No,No,No,Yes,Yes
9191-MYQKX,1,No,Fiber optic,No,No,Yes,No,No,No
9919-YLNNG,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0318-ZOPWS,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4445-ZJNMU,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
4808-YNLEU,1,No,DSL,Yes,No,No,No,Yes,No
1862-QRWPE,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2796-NNUFI,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3016-KSVCP,0,No phone service,DSL,No,No,No,No,Yes,No
4767-HZZHQ,1,No,Fiber optic,No,Yes,Yes,No,No,No
2424-WVHPL,1,No,Fiber optic,No,No,No,Yes,No,No
7233-PAHHL,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
6067-NGCEU,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9848-JQJTX,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
8637-XJIVR,1,Yes,Fiber optic,Yes,No,No,No,No,No
9803-FTJCG,1,Yes,DSL,Yes,Yes,No,Yes,No,No
0278-YXOOG,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3212-KXOCR,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4598-XLKNJ,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
6380-ARCEH,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3679-XASPY,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7123-WQUHX,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No
5386-THSLQ,0,No phone service,DSL,No,Yes,Yes,No,Yes,No
3192-NQECA,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
6180-YBIQI,0,No phone service,DSL,No,No,No,No,No,No
6728-DKUCO,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
9750-BOOHV,0,No phone service,DSL,Yes,No,No,No,No,No
8597-CWYHH,1,Yes,Fiber optic,No,No,No,No,Yes,Yes
2848-YXSMW,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0486-HECZI,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
4549-ZDQYY,1,No,DSL,Yes,No,Yes,Yes,No,No
5712-AHQNN,1,No,Fiber optic,No,Yes,Yes,No,Yes,No
4846-WHAFZ,1,Yes,Fiber optic,No,No,No,No,No,No
5256-SKJGO,0,No phone service,DSL,No,Yes,No,Yes,Yes,Yes
3071-VBYPO,1,No,Fiber optic,Yes,Yes,No,No,Yes,No
9560-BBZXK,0,No phone service,DSL,Yes,No,No,No,No,No
5299-RULOA,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
8402-OOOHJ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9445-ZUEQE,1,Yes,Fiber optic,No,Yes,No,Yes,No,No
1091-SOZGA,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2928-HLDBA,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0404-SWRVG,1,Yes,Fiber optic,No,No,No,No,No,No
6497-TILVL,1,No,DSL,Yes,No,No,No,No,No
7219-TLZHO,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4622-YNKIJ,1,No,Fiber optic,Yes,No,No,Yes,Yes,No
4412-YLTKF,1,Yes,Fiber optic,No,No,Yes,No,No,No
6734-PSBAW,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3930-ZGWVE,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2639-UGMAZ,0,No phone service,DSL,Yes,Yes,No,No,Yes,Yes
2876-GZYZC,1,Yes,Fiber optic,No,No,No,No,No,Yes
6207-WIOLX,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
8587-XYZSF,1,No,DSL,No,No,No,Yes,No,No
3091-FYHKI,0,No phone service,DSL,No,No,No,No,No,Yes
2372-HWUHI,1,No,DSL,No,No,No,No,No,No
7799-LGRDP,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7850-VWJUU,1,No,Fiber optic,Yes,No,No,No,No,No
3774-VBNXY,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6217-KDYWC,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0390-DCFDQ,1,No,Fiber optic,No,No,No,No,No,No
3146-MSEGF,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
4080-OGPJL,1,Yes,DSL,Yes,No,No,Yes,No,Yes
1095-WGNGG,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
2636-SJDOU,1,Yes,Fiber optic,Yes,Yes,No,No,No,No
1131-QQZEB,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5716-EZXZN,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
6837-BJYDQ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2135-RXIHG,1,No,DSL,No,No,No,No,No,No
6440-DKQGE,1,No,DSL,No,Yes,Yes,No,Yes,No
3466-BYAVD,1,No,DSL,No,Yes,Yes,Yes,No,Yes
3780-YVMFA,1,No,DSL,No,No,No,Yes,Yes,Yes
3874-EQOEP,1,Yes,Fiber optic,No,No,No,No,Yes,Yes
1679-JRFBR,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9073-ZZIAY,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3077-RSNTJ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6551-GNYDG,1,No,Fiber optic,No,No,No,No,No,Yes
9167-APMXZ,1,Yes,Fiber optic,No,No,No,No,Yes,No
2749-CTKAJ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6371-NZYEG,1,No,DSL,Yes,No,Yes,No,Yes,No
7554-NEWDD,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8992-VONJD,1,No,DSL,Yes,Yes,No,No,No,No
0867-MKZVY,1,Yes,Fiber optic,Yes,No,No,No,No,No
4482-EWFMI,1,No,Fiber optic,No,No,No,No,No,No
4648-YPBTM,1,Yes,DSL,No,Yes,Yes,Yes,No,Yes
2907-ILJBN,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6345-FZOQH,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3376-BMGFE,1,No,Fiber optic,No,No,No,No,No,No
5997-OPVFA,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3445-HXXGF,0,No phone service,DSL,No,Yes,Yes,No,No,Yes
1159-WFSGR,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7654-YWJUF,1,No,Fiber optic,Yes,No,Yes,Yes,No,No
1875-QIVME,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
6727-IOTLZ,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes
0691-JVSYA,1,No,Fiber optic,No,No,Yes,No,Yes,Yes
5918-VUKWP,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1744-JHKYS,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2656-FMOKZ,1,Yes,Fiber optic,No,No,No,No,No,No
2070-FNEXE,1,No,Fiber optic,Yes,No,No,No,No,No
5947-SGKCL,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
3712-PKXZA,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6317-YPKDH,0,No phone service,DSL,No,Yes,No,No,No,No
6582-OIVSP,1,No,DSL,No,No,No,No,No,No
9367-WXLCH,1,Yes,Fiber optic,No,No,No,No,No,Yes
5524-KHNJP,1,No,DSL,Yes,No,Yes,No,Yes,Yes
1918-ZBFQJ,1,No,Fiber optic,No,Yes,Yes,No,No,No
1024-GUALD,0,No phone service,DSL,No,No,No,No,No,No
4827-USJHP,1,No,DSL,No,Yes,No,No,No,No
8167-GJLRN,0,No phone service,DSL,No,No,No,Yes,No,No
0956-SYCWG,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8017-UVSZU,1,Yes,DSL,No,Yes,No,No,No,No
7100-FQPRV,1,Yes,DSL,Yes,No,No,Yes,No,Yes
2472-OVKUP,1,No,Fiber optic,No,Yes,Yes,No,No,Yes
2984-RGEYA,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9680-NIAUV,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
2146-EGVDT,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2604-IJPDU,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,No
9178-JHUVJ,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6168-YBYNP,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7255-SSFBC,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
3645-DEYGF,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9323-HGFWY,1,No,Fiber optic,Yes,No,No,Yes,Yes,Yes
8544-GOQSH,1,No,Fiber optic,No,Yes,No,Yes,No,No
3363-DTIVD,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
7018-WBJNK,1,No,Fiber optic,No,No,No,No,Yes,No
9142-KZXOP,1,No,Fiber optic,No,No,No,No,No,No
7674-YTAFD,1,No,Fiber optic,No,Yes,No,Yes,No,No
6348-SNFUS,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes
1285-OKIPP,1,No,Fiber optic,No,No,No,No,No,Yes
7825-ECJRF,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1347-KTTTA,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7841-TZDMQ,1,No,DSL,No,No,No,No,No,No
4195-NZGTA,0,No phone service,DSL,No,No,No,No,No,No
7157-SMCFK,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4709-LKHYG,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2504-DSHIH,1,Yes,Fiber optic,No,No,No,No,No,Yes
0699-NDKJM,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
9286-BHDQG,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
0230-WEQUW,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
2040-LDIWQ,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
6496-JDSSB,1,No,Fiber optic,No,No,No,No,Yes,No
9408-SSNVZ,1,No,Fiber optic,No,No,No,No,No,No
4443-EMBNA,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6469-MRVET,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0742-MOABM,1,No,DSL,No,No,No,Yes,No,No
5961-VUSRV,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6778-JFCMK,0,No phone service,DSL,Yes,No,No,No,Yes,Yes
6341-JVQGF,1,No,DSL,Yes,No,Yes,Yes,Yes,Yes
2232-DMLXU,1,No,DSL,No,No,No,No,Yes,No
4811-JBUVU,1,Yes,Fiber optic,No,No,No,Yes,No,Yes
0945-TSONX,1,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
2651-ZCBXV,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
3316-UWXUY,1,No,Fiber optic,Yes,Yes,No,Yes,No,Yes
8937-RDTHP,1,No,Fiber optic,Yes,No,No,No,No,Yes
7083-MIOPC,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1984-GPTEH,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1251-KRREG,1,Yes,DSL,No,Yes,No,No,No,No
0621-JFHOL,0,No phone service,DSL,No,No,No,Yes,No,No
9903-LYSAB,1,Yes,Fiber optic,No,No,No,No,No,No
0094-OIFMO,1,No,Fiber optic,No,Yes,No,No,Yes,Yes
9227-UAQFT,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7301-ABVAD,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
6614-FHDBO,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7576-ASEJU,1,No,DSL,Yes,No,No,Yes,Yes,Yes
9058-HRZSV,1,No,Fiber optic,Yes,Yes,Yes,No,No,Yes
4522-AKYLR,1,No,DSL,No,Yes,Yes,No,No,No
0221-WMXNQ,1,No,Fiber optic,Yes,No,No,No,No,No
0303-UNCIP,1,Yes,DSL,No,No,Yes,No,No,Yes
9947-OTFQU,1,No,Fiber optic,No,Yes,No,No,No,No
0322-YINQP,1,No,DSL,Yes,No,No,No,No,No
0959-WHOKV,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes
4075-JFPGR,1,No,Fiber optic,Yes,Yes,Yes,No,Yes,No
4629-NRXKX,1,No,Fiber optic,No,No,No,No,No,No
9514-JDSKI,0,No phone service,DSL,No,Yes,No,No,Yes,No
3282-ZISZV,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
3675-YDUPJ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4111-BNXIF,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
7017-VFHAY,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
6655-LHBYW,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
4959-JOSRX,1,No,DSL,No,No,No,No,No,No
5046-NUHWD,0,No phone service,DSL,Yes,No,Yes,No,No,Yes
7273-TEFQD,0,No phone service,DSL,No,No,Yes,No,No,Yes
3606-TWKGI,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
7529-ZDFXI,1,Yes,Fiber optic,No,Yes,No,No,No,Yes
7605-BDWDC,0,No phone service,DSL,Yes,Yes,No,Yes,No,Yes
1950-KSVVJ,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0123-CRBRT,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
6292-TOSSS,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3197-ARFOY,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
6323-AYBRX,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7014-ZZXAW,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4385-GZQXV,1,No,Fiber optic,No,No,No,Yes,Yes,Yes
7633-MVPUY,1,No,DSL,Yes,Yes,No,Yes,No,No
6366-ZGQGL,0,No phone service,DSL,No,No,No,No,No,No
4716-HHKQH,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
5940-AHUHD,1,No,Fiber optic,No,No,No,No,No,No
6432-TWQLB,1,Yes,Fiber optic,No,Yes,No,Yes,No,No
4484-GLZOU,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
3179-GBRWV,1,No,DSL,Yes,Yes,No,No,No,Yes
8645-KWHJO,0,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
4130-MZLCC,1,No,DSL,No,Yes,No,No,No,No
0314-TKOSI,1,No,DSL,Yes,Yes,No,No,No,No
8229-MYEJZ,1,No,DSL,No,Yes,No,No,No,No
2080-SRCDE,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9577-WJVCQ,1,Yes,DSL,Yes,No,No,No,No,No
9512-UIBFX,1,No,Fiber optic,No,No,Yes,No,Yes,Yes
6202-DYYFX,1,Yes,Fiber optic,No,No,No,No,No,No
3808-HFKDE,1,No,DSL,No,No,No,No,No,No
5583-SXDAG,1,No,Fiber optic,No,No,No,No,No,No
3488-PGMQJ,1,No,Fiber optic,No,Yes,No,No,No,No
3580-REOAC,1,No,DSL,No,No,No,No,No,No
7534-BFESC,1,Yes,Fiber optic,No,No,No,No,No,No
3727-OWVYD,1,No,DSL,Yes,Yes,Yes,No,No,No
2294-SALNE,1,No,Fiber optic,No,Yes,Yes,Yes,No,No
4847-TAJYI,1,No,Fiber optic,No,No,No,No,Yes,Yes
1563-IWQEX,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8203-XJZRC,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6556-DBKZF,1,No,Fiber optic,No,No,Yes,No,No,No
6851-WEFYX,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2985-JUUBZ,1,Yes,DSL,No,No,Yes,No,Yes,Yes
6390-DSAZX,1,No,Fiber optic,Yes,No,No,No,No,No
0895-LMRSF,1,No,DSL,No,No,No,No,Yes,Yes
8098-LLAZX,1,Yes,Fiber optic,No,No,No,No,Yes,Yes
8266-VBFQL,1,No,Fiber optic,No,No,Yes,Yes,No,Yes
8181-YHCMF,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
2240-HSJQD,1,Yes,Fiber optic,No,Yes,No,No,No,No
1248-DYXUB,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0265-EDXBD,1,Yes,Fiber optic,No,No,No,No,No,No
4115-BNPJY,1,No,DSL,No,No,Yes,Yes,Yes,Yes
3167-SNQPL,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
4091-TVOCN,1,Yes,DSL,Yes,No,Yes,No,Yes,Yes
1098-TDVUQ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7277-OZCGZ,1,No,Fiber optic,Yes,No,No,Yes,No,Yes
1557-EMYVT,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
2799-ARNLO,1,No,Fiber optic,No,No,No,No,No,No
7563-BIUPC,1,No,Fiber optic,No,No,No,No,Yes,No
5027-YOCXN,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
3973-SKMLN,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2321-OMBXY,1,No,DSL,Yes,Yes,No,Yes,Yes,Yes
2840-XANRC,1,No,Fiber optic,No,No,Yes,No,Yes,Yes
6745-JEFZB,1,Yes,Fiber optic,No,No,No,Yes,Yes,No
5020-ZSTTY,1,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
9880-TDQAC,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
8705-WZCYL,1,No,DSL,No,No,No,No,No,No
7102-JJVTX,1,No,DSL,Yes,No,No,No,No,No
8626-PTQGE,0,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes
4983-CLMLV,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
5701-YVSVF,1,No,Fiber optic,No,No,No,Yes,Yes,No
5804-LEPIM,1,No,Fiber optic,No,No,No,No,No,No
5697-GOMBF,0,No phone service,DSL,No,No,No,No,Yes,No
2739-CACDQ,1,Yes,Fiber optic,No,No,Yes,No,No,No
9385-EHGDO,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9498-FIMXL,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2379-GYFLQ,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
0122-OAHPZ,1,Yes,Fiber optic,No,No,No,No,No,No
2868-SNELZ,1,Yes,Fiber optic,No,No,Yes,No,No,No
4322-RCYMT,1,Yes,DSL,No,Yes,Yes,Yes,No,Yes
6680-NENYN,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
2088-IEBAU,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7982-VCELR,1,No,Fiber optic,No,Yes,No,No,Yes,Yes
1343-EHPYB,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
6035-BXTTY,1,No,DSL,No,Yes,No,Yes,No,No
6885-PKOAM,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7520-HQWJU,1,Yes,DSL,Yes,Yes,Yes,No,No,No
9639-BUJXT,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5924-SNGKP,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0021-IKXGC,1,Yes,Fiber optic,No,No,No,No,No,No
2034-GDRCN,1,No,Fiber optic,No,No,No,No,Yes,Yes
8966-SNIZF,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6243-OZGFH,0,No phone service,DSL,No,No,No,No,Yes,Yes
4654-DLAMQ,1,No,Fiber optic,Yes,Yes,Yes,No,No,Yes
0513-RBGPE,1,Yes,DSL,Yes,No,Yes,Yes,No,No
5160-UXJED,1,No,DSL,No,No,No,No,No,No
4115-NZRKS,1,No,Fiber optic,No,No,No,No,Yes,Yes
0219-YTZUE,1,Yes,Fiber optic,No,Yes,Yes,No,No,No
0623-IIHUG,0,No phone service,DSL,Yes,No,No,No,Yes,No
4572-DVCGN,1,No,Fiber optic,No,No,No,No,No,Yes
3351-NGXYI,1,Yes,DSL,Yes,No,No,No,No,No
8984-EYLLL,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
